service;species;value;reliability;cultural_condition
storage_and_return_water;Tetraria thermalis;0.0049995980225503445;16.66666603088379;natural
nitrogen_provision;Kobresia simpliciuscula;0;11.11111068725586;natural
storage_and_return_water;Triodia scabra;0.02269231155514717;16.66666603088379;natural
storage_and_return_water;Carex scopulorum;0.01631329208612442;16.66666603088379;natural
storage_and_return_water;Cyperus capitatus;0.024466775357723236;16.66666603088379;natural
storage_and_return_water;Matthiola sinuata;0.01134329941123724;16.66666603088379;natural
nitrogen_provision;Arachis glabrata var. hagenbeckii;1;11.11111068725586;natural
nitrogen_provision;Lamium galeobdolon;0.47369903326034546;66.66666412353516;natural
storage_and_return_water;Schoenoplectus lacustris;0.11602586507797241;16.66666603088379;natural
nitrogen_provision;Paeonia anomala;0.2636244595050812;33.33333206176758;natural
storage_and_return_water;Gymnocarpium jessoense;0.20266024768352509;16.66666603088379;natural
nitrogen_provision;Agave mitis;0.0027731959708034992;11.11111068725586;natural
nitrogen_provision;Chloris verticillata;0.5218170881271362;22.22222137451172;natural
nitrogen_provision;Brachiaria deflexa;0.013333333656191826;11.11111068725586;natural
nitrogen_provision;Geum triflorum;0.42336514592170715;33.33333206176758;natural
nitrogen_provision;Aegopodium podagraria;0.5843651294708252;55.55555725097656;natural
storage_and_return_water;Kobresia royleana;0.13342757523059845;16.66666603088379;natural
nitrogen_provision;Cirsium rydbergii;0.008062059059739113;11.11111068725586;natural
storage_and_return_water;Hordeum distichon;0.031115464866161346;16.66666603088379;natural
storage_and_return_water;Veronica plebeia;0.024691946804523468;16.66666603088379;natural
nitrogen_provision;Salsola kali;0.2460518479347229;33.33333206176758;natural
storage_and_return_water;Fumana procumbens;0.011160928755998611;16.66666603088379;natural
storage_and_return_water;Equisetum x ferrissii;0.007752276957035065;16.66666603088379;natural
nitrogen_provision;Indigofera vicioides;1;11.11111068725586;natural
nitrogen_provision;Callirhoe digitata;0.4321891665458679;33.33333206176758;natural
nitrogen_provision;Pearsonia cajanifolia;1;11.11111068725586;natural
storage_and_return_water;Hordeum pusillum;0.40464112162590027;33.33333206176758;natural
storage_and_return_water;Tanacetum vulgare;0.16451147198677063;50;natural
storage_and_return_water;Laserpitium nitidum;0.015128015540540218;16.66666603088379;natural
storage_and_return_water;Pachysandra terminalis;0.00275481422431767;16.66666603088379;natural
storage_and_return_water;Pulsatilla albana;0.07577070593833923;16.66666603088379;natural
storage_and_return_water;Bromus kalmii;0.2906126379966736;50;natural
storage_and_return_water;Petasites pyrenaicus;0.14704068005084991;16.66666603088379;natural
nitrogen_provision;Primula vulgaris;0.3373558521270752;44.44444274902344;natural
